id_envio,nombre_producto,id_camion,zona_destino,km_recorridos,tipo_entrega
132,Licuadora,7,bandfield,102,1
133,Cocina,1,lanus,49,1
134,Radio,5,bandfield,77,0
135,Plancha,6,avellaneda,120,1
136,Pendrive,5,bandfield,61,0
137,Televisor,4,lanus,51,2
138,Plancha,7,avellaneda,114,0
139,Televisor,7,quilmes,117,0
140,Lavarropas,6,quilmes,111,2
141,Pendrive,5,avellaneda,86,0
142,Pendrive,2,quilmes,34,0
143,Plancha,1,caba,62,0
144,Plancha,4,lanus,61,2
145,Plancha,1,bandfield,71,2
146,Cocina,4,bandfield,60,2
147,Televisor,7,quilmes,113,1
148,Pendrive,6,lanus,104,0
149,Lavarropas,6,caba,94,1
150,Radio,1,quilmes,92,1
151,Cocina,7,avellaneda,114,0
152,Cocina,7,bandfield,35,2
153,Pendrive,4,quilmes,73,2
154,Radio,2,quilmes,11,1
155,Lavarropas,5,lanus,114,1
156,Cocina,5,lanus,25,2
157,Televisor,7,lanus,22,1
158,Licuadora,6,avellaneda,81,0
159,Lavarropas,1,lanus,110,1
160,Pendrive,2,bandfield,109,1
161,Lavarropas,5,avellaneda,114,2
162,Pendrive,5,avellaneda,96,1
163,Pendrive,2,caba,51,2
164,Lavarropas,1,quilmes,19,2
165,Cocina,1,bandfield,77,2
166,Cocina,1,caba,52,2
167,Radio,3,quilmes,96,0
168,Plancha,6,avellaneda,53,0
169,Cocina,7,avellaneda,86,2
170,Licuadora,5,bandfield,45,1
171,Televisor,6,quilmes,38,2
172,Licuadora,1,lanus,79,2
173,Licuadora,7,avellaneda,23,2
174,Plancha,3,quilmes,99,1
175,Cocina,1,quilmes,87,2
176,Licuadora,3,quilmes,61,0
177,Plancha,3,avellaneda,10,2
178,Cocina,2,caba,85,2
179,Televisor,2,lanus,102,0
180,Lavarropas,3,bandfield,118,1
181,Lavarropas,2,caba,103,1
182,Licuadora,5,lanus,69,1
183,Licuadora,1,bandfield,93,2
184,Televisor,7,lanus,46,0
185,Lavarropas,6,bandfield,90,0
186,Televisor,2,avellaneda,22,0
187,Televisor,2,caba,73,1
188,Televisor,5,quilmes,114,1
189,Licuadora,5,quilmes,59,2
190,Plancha,2,avellaneda,55,1
191,Cocina,7,quilmes,75,0
192,Licuadora,6,avellaneda,98,2
193,Televisor,7,caba,31,0
194,Pendrive,3,bandfield,33,1
195,Televisor,6,bandfield,15,2
196,Plancha,6,lanus,38,1
197,Cocina,4,avellaneda,56,0
198,Cocina,7,caba,59,0
199,Radio,7,avellaneda,90,2
200,Televisor,1,quilmes,36,2
